ID;Citation;DOI;Web;Year;Country;Continent;Type of reference;Ref Paper;Ref Organic;Ref Plastic;Ref Inert ;Comments;;;Fragen 
82;C.-H. Wu, C.-Y. Chang, J.-L. Hor, S.-M. Shih, L.-W. Chen & F.-W. Chang, On the thermal treatment of plastic mixtures of MSW: Pyrolysis kinetics, Waste Management (1993), 13, 3, 221-235;10.1016/0956-053X(93)90046-Y;https://www.sciencedirect.com/science/article/pii/0956053X9390046Y;1993;Taiwan;Asia;Scientific Publication;;;x;;;;;
83;N. Roslan, S. Z. Abd Rahim, A. E.-j. Abdellah El-Hadj, M. M. A. B. Abdullah, K. Błoch, P. Pietrusiewicz, M. Nabiałek, J. Szmidla, D. Kwiatkowski, J. Vasco, M. N. Mat Saad & M. Dathullah Ghazali, Optimisation of Shrinkage and Strength on Thick Plate Part Using Recycled LDPE Materials, Materials (2021), 14, 7, 1795;10.3390/ma14071795;https://www.mdpi.com/1996-1944/14/7/1795;2021;Malaysia;Asia;Scientific Publication;;;x;;;;;
84;N. Dutta, P. Mondal & A. Gupta, Optimization of process parameters using response surface methodology for maximum liquid yield during thermal pyrolysis of blend of virgin and waste high-density polyethylene,  Journal of Material Cycles and Waste Management (2022), 24, 1182-1193;10.1007/s10163-022-01392-y;https://link.springer.com/article/10.1007/s10163-022-01392-y#article-info;2022;India;Asia;Scientific Publication;;;x;;;;;
85;"F. Nascimento da Silva, C. G. Sánchez & E. M. S. Sanchez, PRELIMINARY ANALYSIS OF POLYAMIDE-12 FOR STUDY OF
PYROLYSIS IN FLUIDIZED BED, 12th Brazilian Congress of Thermal Engineering and Sciences (2008), November 10-14,2008, Belo Horizonte, Brasil.";;https://www.abcm.org.br/anais/encit/2008/artigos/3_5316.pdf;2008;Brazil;America;Scientific Publication;;;x;;;;;
86;M. Li, Y. Wan, Z. Gao, G. Xiong, X. Wang, C. Wan & H. Luo, Preparation and properties of polyamide 6 thermal conductive composites reinforced with fibers, Materials & Design (2013), 51, 257-261;10.1016/j.matdes.2013.03.076;https://www.sciencedirect.com/science/article/pii/S0261306913002847;2013;China;Asia;Scientific Publication;;;x;;;;;
87;L. Saeed, A. Tohka, M. Haapala & R. Zevenhoven, Pyrolysis and combustion of PVC, PVC-wood and PVC-coal mixtures in a two-stage fluidized bed process, Fuel Processing Technology (2004), 85, 14, 1565-1583;10.1016/j.fuproc.2003.11.045;https://www.sciencedirect.com/science/article/pii/S0378382003003242;2004;Finland;Europe;Scientific Publication;;;x;;;;;
88;L. Sørum, M. G. Grønli & J. E. Hustad, Pyrolysis characteristics and kinetics of municipal solid wastes, Fuel (2001), 80, 9, 1217-1227;10.1016/S0016-2361(00)00218-0;https://www.sciencedirect.com/science/article/pii/S0016236100002180;2001;Norway;Europe;Scientific Publication;;;x;;;;;
89;S. Yousef, J. Eimontas, N. Striūgas, A. Mohamed & M. Ali Abdelnaby, Pyrolysis Kinetic Behavior and Thermodynamic Analysis of PET Nonwoven Fabric, Materials (2023), 16 (18), 6079;10.3390/ma16186079;https://www.mdpi.com/1996-1944/16/18/6079;2023;Lithuania;Europe;Scientific Publication;;;x;;;;;
90;B. B. Uzun & E. Yaman, Pyrolysis kinetics of walnut shell and waste polyolefins using thermogravimetric analysis, Journal of the Energy Institute (2017), 90, 6, 825-837;10.1016/j.joei.2016.09.001;https://www.sciencedirect.com/science/article/pii/S1743967116301337;2017;Turkey;Europe;Scientific Publication;;;x;;;;;
91;S. A. Salaudeen, S. M. Al-Salem, S. Sharma & A. Duttam, Pyrolysis of High-Density Polyethylene in a Fluidized Bed Reactor: Pyro-Wax and Gas Analysis, Industrial & Engineering Chemistry Research (2021), 60, 18283-18292;10.1021/acs.iecr.1c03373;https://pubs.acs.org/doi/full/10.1021/acs.iecr.1c03373;2021;Canada;America;Scientific Publication;;;x;;;;;
92;I. J. Dubdub & M. Al-Yaari, Pyrolysis of Mixed Plastic Waste: I. Kinetic Study, Materials (2020), 13, 21, 4912;10.3390/ma13214912;https://www.mdpi.com/1996-1944/13/21/4912;2020;Saudi Arabia;Asia;Scientific Publication;;;x;;;;;
93;S. D. A. Sharuddin, F. Abnisa, W. Daud & M. K. Auroua, Pyrolysis of plastic waste for liquid fuel production as prospective energy resource, IOP Conference Series: Materials Science and Engineering (2018), 334, 1, 012001;10.1088/1757-899X/334/1/012001;https://iopscience.iop.org/article/10.1088/1757-899X/334/1/012001;2018;Malaysia;Asia;Scientific Publication;;;x;;;;;
94;J. M. Encinar & J. F. González, Pyrolysis of synthetic polymers and plastic wastes. Kinetic study, Fuel Processing Technology (2008), 89, 7, 678-686;10.1016/j.fuproc.2007.12.011;https://www.sciencedirect.com/science/article/pii/S0378382007002809;2008;Spain;Europe;Scientific Publication;;;x;;;;;
95;J. A. Glaser, Biological Degradation of Polymers in the Environment, Plastics in the Environment (2019), 1-22;10.5772/intechopen.85124;https://www.intechopen.com/chapters/66340;2019;USA;America;Scientific Publication;;;x;;;;;
96;A. Elhassnaoui, A. El Ballouti, S. Sahnoun, Reconstruction of a triangular geometry defects in inaccessible face by a model of active thermography, Journal of Optoelectronics and Advanced Materials (2013), 15, 5-6, 447-450;;https://joam.inoe.ro/articles/reconstruction-of-a-triangular-geometry-defects-in-inaccessible-face-by-a-model-of-active-thermography/;2013;Morocco;Africa;Scientific Publication;;;x;;;;;
97;S. Kumar & R.K. Singh, Recovery of hydrocarbon liquid from waste high density polyethylene by thermal pyrolysis, Brazilian Journal of Chemical Engineering (2011), 28, 659-667;10.1590/S0104-66322011000400011;https://www.scielo.br/j/bjce/a/QGbJqWFxxtZN5b4MnJFbZcS/?format=html;2011;India;Asia;Scientific Publication;;;x;;;;;
98;A. Kijo-Kleczkowska & A. Gnatowski, Recycling of Plastic Waste, with Particular Emphasis on Thermal Methods—Review, Energies (2022), 15, 6, 2114;10.3390/en15062114;https://www.mdpi.com/1996-1073/15/6/2114;2022;Poland;Europe;Scientific Publication;;;x;;;;;
99;A. Chaudhary, J. Lakhani, P. Dalsaniya, P. Chaudhary, A. Trada, N. K. Shah & D. S. Upadhyay, Slow pyrolysis of low-density Poly-Ethylene (LDPE): A batch experiment and thermodynamic analysis, Energy (2023), 263, 125810;10.1016/j.energy.2022.125810;https://www.sciencedirect.com/science/article/pii/S0360544222026962;2023;India;Asia;Scientific Publication;;;x;;;;;
100;S. Zallaya, J. H. El Achkar, A. Abou Chacra, S. Shatila, J. El Akhdar & Y. Daher, Steam gasification modeling of polyethylene (PE) and polyethylene terephthalate (PET) wastes: A case study, Chemical Engineering Science (2023), 267, 118340;10.1016/j.ces.2022.118340;https://www.sciencedirect.com/science/article/pii/S0009250922009253;2023;Lebanon;Asia;Scientific Publication;;;x;;;;;
101;S. M. Al-Salem, S. R. Chandrasekaran, A. Dutta & B. K. Sharma, Study of the fuel properties of extracted oils obtained from low and linear low density polyethylene pyrolysis, Fuel (2021), 304, 121396;10.1016/j.fuel.2021.121396;https://www.sciencedirect.com/science/article/pii/S0016236121012758;2021;Kuwait;Asia;Scientific Publication;;;x;;;;;
102;Y. Zheng, L. Tao, X. Yang, Y. Huang, C. Liu & Z. Zheng, Study of the thermal behavior, kinetics, and product characterization of biomass and low-density polyethylene co-pyrolysis by thermogravimetric analysis and pyrolysis-GC/MS, Journal of Analytical and Applied Pyrolysis (2018), 133, 185-197;10.1016/j.jaap.2018.04.001;https://www.sciencedirect.com/science/article/pii/S0165237017310860;2018;China;Asia;Scientific Publication;;;x;;;;;
103;S. Xiong, J. Zhuo, H. Zhou, R. Pang & Q. Yao, Study on the co-pyrolysis of high density polyethylene and potato blends using thermogravimetric analyzer and tubular furnace, Journal of Analytical and Applied Pyrolysis (2015), 112, 66-73;10.1016/j.jaap.2015.02.020;https://www.sciencedirect.com/science/article/pii/S0165237015000637;2015;China;Asia;Scientific Publication;;;x;;;;;
104;D. Li, S. Lei, P. Wang, L. Zhong, W. Ma & G. Chen, Study on the pyrolysis behaviors of mixed waste plastics, Renewable Energy (2021), 173, 662-674;10.1016/j.renene.2021.04.035;https://www.sciencedirect.com/science/article/pii/S0960148121005474;2021;China;Asia;Scientific Publication;;;x;;;;;
105;Z. Yuan, J. Zhang, P. Zhao, Z. Wang, X. Cui, L. Gao, Q. Guo & H. Tian, Synergistic Effect and Chlorine-Release Behaviors During Co-pyrolysis of LLDPE, PP, and PVC, ACS Omega (2020), 5, 20, 11291-11298;10.1021/acsomega.9b04116;https://pubs.acs.org/doi/full/10.1021/acsomega.9b04116;2020;China;Asia;Scientific Publication;;;x;;;;;
106;C. L. Choy & D. Greig, The low temperature thermal conductivity of isotropic and oriented polymers, Journal of Physics C: Solid State Physics (1977), 10, 2, 169;10.1088/0022-3719/10/2/005;https://iopscience.iop.org/article/10.1088/0022-3719/10/2/005/meta;1977;UK;Europe;Scientific Publication;;;x;;;;;
107;M. F. Paucar-Sánchez, M. Calero, G. Blázquez, R. R. Solís, M. J. Muñoz-Batista & M. Á. Martín-Lara, Thermal and catalytic pyrolysis of a real mixture of post-consumer plastic waste: An analysis of the gasoline-range product, Process Safety and Environmental Protection (2022), 168, 1201-1211;10.1016/j.psep.2022.11.009;https://www.sciencedirect.com/science/article/pii/S0957582022009624;2022;Spain;Europe;Scientific Publication;;;x;;;;;
108;A. Trigui, M. Karkri & I. Krupa, Thermal conductivity and latent heat thermal energy storage properties of LDPE/wax as a shape-stabilized composite phase change material, Energy Conversion and Management (2014), 77, 586-596;10.1016/j.enconman.2013.09.034;https://www.sciencedirect.com/science/article/pii/S0196890413005785;2014;France;Europe;Scientific Publication;;;x;;;;;
109;G. de Carvalho, E. Frollini & W. N. D. Santos, Thermal conductivity of polymers by hot-wire method, Journal of Applied Polymer Science (1996), 62, 13, 2281-2285;"10.1002/(SICI)1097-4628(19961226)62:13<2281::AID-APP12>3.0.CO;2-6";"https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1097-4628(19961226)62:13%3C2281::AID-APP12%3E3.0.CO;2-6";1996;Brazil;America;Scientific Publication;;;x;;;;;
110;N. Ahmad, N. Ahmad, I. M. Maafa, U. Ahmed, .P Akhter, N. Shehzad, U.-e-s. Amjad & M. Hussain, Thermal conversion of polystyrene plastic waste to liquid fuel via ethanolysis, Fuel (2020), 279, 118498;10.1016/j.fuel.2020.118498;https://www.sciencedirect.com/science/article/pii/S0016236120314940;2020;South Korea;Asia;Scientific Publication;;;x;;;;;
111;A. Aboulkas, K. El harfi & A. El Bouadili, Thermal degradation behaviors of polyethylene and polypropylene. Part I: Pyrolysis kinetics and mechanisms, Energy Conversion and Management (2010), 51, 7, 1363-1369;10.1016/j.enconman.2009.12.017;https://www.sciencedirect.com/science/article/pii/S0196890409005238;2010;Morocco;Africa;Scientific Publication;;;x;;;;;
112;N. Miskolczi, L. Bartha, G. Deák & B. Jóver, Thermal degradation of municipal plastic waste for production of fuel-like hydrocarbons, Polymer Degradation and Stability (2004), 86, 2, 357-366;10.1016/j.polymdegradstab.2004.04.025;https://www.sciencedirect.com/science/article/pii/S0141391004001508;2004;Hungary;Europe;Scientific Publication;;;x;;;;;
113;Y. C. Rotliwala & P. A. Parikh, Thermal degradation of rice-bran with high density polyethylene: A kinetic study,  Korean Journal of Chemical Engineering (2011), 28, 788-792;10.1007/s11814-010-0414-1;https://link.springer.com/article/10.1007/s11814-010-0414-1;2011;India;Asia;Scientific Publication;;;x;;;;;
114;R. K. Singh, B. Ruj, A. K. Sadhukha &, P. Gupta, Thermal degradation of waste plastics under non-sweeping atmosphere: Part 1: Effect of temperature, product optimization, and degradation mechanism, Journal of Environmental Management (2019), 239, 395-406;10.1016/j.jenvman.2019.03.067;https://www.sciencedirect.com/science/article/pii/S0301479719303706;2019;India;Asia;Scientific Publication;;;x;;;;;
115;B. Abbasgholi-Na, S. R. Nokhbeh, O. A Aldaghri, K. H. Ibnaouf, N. Madkhali & H. Cabrera, Thermal Diffusivity and Conductivity of Polyolefins by Thermal Lens Technique, Polymers (2022), 14, 13, 2707;10.3390/polym14132707;https://www.mdpi.com/2073-4360/14/13/2707;2022;Italy;Europe;Scientific Publication;;;x;;;;;
116;M. H. Rahman, P. R. Bhoi, A. Saha, V. Patil & S. Adhikari, Thermo-catalytic co-pyrolysis of biomass and high-density polyethylene for improving the yield and quality of pyrolysis liquid, Energy (2021), 225, 120231;10.1016/j.energy.2021.120231;https://www.sciencedirect.com/science/article/pii/S0360544221004801;2021;USA;America;Scientific Publication;;;x;;;;;
117;J. Cai, Y. Wang, L. Zhou & Q. Huang, Thermogravimetric analysis and kinetics of coal/plastic blends during co-pyrolysis in nitrogen atmosphere, Fuel Processing Technology (2008), 89, 1, 21-27;10.1016/j.fuproc.2007.06.006;https://www.sciencedirect.com/science/article/pii/S0378382007001361;2008;China;Asia;Scientific Publication;;;x;;;;;
118;E. Ansah, L. Wang & A. Shahbazi, Thermogravimetric and calorimetric characteristics during co-pyrolysis of municipal solid waste components, Waste Management (2016), 56, 196-206;10.1016/j.wasman.2016.06.015;https://www.sciencedirect.com/science/article/pii/S0956053X16303208;2016;USA;America;Scientific Publication;;;x;;;;;
119;J. M. Heikkinen, J. C. Hordijk, W. de Jong, H. Spliethoff, Thermogravimetry as a tool to classify waste components to be used for energy generation, Journal of Analytical and Applied Pyrolysis (2004), 71, 2, 883-900;10.1016/j.jaap.2003.12.001;https://www.sciencedirect.com/science/article/pii/S0165237003001839;2004;The Netherlands;Europe;Scientific Publication;;;x;;;;;
120;S. Kumar, R. K. Singh, Thermolysis of High-Density Polyethylene to Petroleum Products, Journal of Petroleum Engineering (2013), 2013, 1, 987568;10.1155/2013/987568;https://onlinelibrary.wiley.com/doi/full/10.1155/2013/987568;2013;India;Asia;Scientific Publication;;;x;;;;;
121;M. Kok, K. Demirelli & Y. Aydogdu, Thermophysical Properties Of Blend Of Poly ( Vinyl Chloride ) With Poly ( Isobornyl Acrylate ), International Journal of Science & Technology (2008), 3, 1, 37-42;;https://www.researchgate.net/publication/242724319;2008;Turkey;Europe;Scientific Publication;;;x;;;;;
122;D. Supramono, E. Kusrini & H. Yuana, Yield and Composition of Bio-oil from Co-Pyrolysis of Corn Cobs and Plastic Waste of HDPE in a Fixed Bed Reactor, Journal of the Japan Institute of Energy (2016), 95, 8, 621-628;10.3775/jie.95.621;https://www.jstage.jst.go.jp/article/jie/95/8/95_621/_article/-char/ja/;2016;Japan;Asia;Scientific Publication;;;x;;;;;
123;M. Prasad k & M. Somasundaram, Co-pyrolysis of Juliflora biomass with low-density polyethylene for bio-oil synthesis, Energy Sources, Part A: Recovery, Utilization, and Environmental Effects (2021), 43, 9, 1134-1149;10.1080/15567036.2019.1635232;https://www.tandfonline.com/doi/full/10.1080/15567036.2019.1635232;2019;India;Asia;Scientific Publication;;;x;;;;;
124;"K. P. Kumar & S. Srinivas, Catalytic Co-pyrolysis of Biomass and Plastics (Polypropylene and
Polystyrene) Using Spent FCC Catalyst, Energy & Fuels (2020), 34, 1, 460-473";10.1021/acs.energyfuels.9b03135;https://pubs.acs.org/doi/pdf/10.1021/acs.energyfuels.9b03135?ref=article_openPDF;2020;India;Asia;Scientific Publication;;;x;;;;;
125;S.-H. Jung, M.-H. Cho, B.-S. Kang & J.-S. Kim, Pyrolysis of a fraction of waste polypropylene and polyethylene for the recovery of BTX aromatics using a fluidized bed reactor, Fuel Processing Technology (2010), 91, 3, 277-284;10.1016/j.fuproc.2009.10.009;https://pdf.sciencedirectassets.com/271404/1-s2.0-S0378382010X00029/1-s2.0-S037838200900321X/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjELf%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJGMEQCIG%2BZIX1Z787XVlcV7kq8m4h4Crf2BvWTeYWKwvl3oR57AiA4DOgPlUc9t8f9mmQSOt6bDhOFlkAEbnNO2yAQFWHzOSqzBQgvEAUaDDA1OTAwMzU0Njg2NSIMbzRn5dcXy5wIDNz7KpAFWwepm8tnFN5ozNEbiidsroDS7kShAW%2FljqZBZA5PJUNIGtYMzIQOzcowqSqRc69rn8ypYCbP9ltsaP9SVo2QG%2F06CoLUf3EOAqNWxEYP8xhQEH%2FLgZbb3DVCtcCG8MnoMIm7OsE6FFdzCcLMU0oaBh2J6MUX0z8CaL2ca4cnyjLv0q4WCv0RhJBWgT1KfWwbXJ6O%2FhQI%2FBfQPC%2FLnzdUyqqC%2BZf5oJmrtPj1415mbtGfGiujHWNFILbxfMsGNey1ljGsS5yV2xSjqoRE33zRUTq5ONOuR6mhQtaPCLCV0sb14%2BRZ7RH3ON%2Fx5zIUOaO3Z7BU%2B4Tv6HNvmaJAqufbQx0nte1sCFPYso0l%2FH3PIUh8R3%2BjslxcBG8QDoGokZBGR4Yunj%2FXCx02dzOwhCza%2BDxnszxciCVpFz3UZ5PQNDF6u026v3AMl6E6wGTcUoDaUDZQrqkTBI1Emt9Te85aMsyMLLDiEHfUIsVp939AZIbwCkj9eAZAvXc%2BHr6acyz%2FwvGQnfRcDbxK0wimkWnBs9cE6rzpinmGC7LbVMZdC%2FPFBxRQADhxiOh%2BHQbX4m3%2Fpi4ydUtqvVf6DpB8QLMRBQIblBfZVkIzkAGnPLhOXwEvuPWND%2BVoLWImQQG%2BB53znjkE2HdxKVwG7ENcSQ5xEy6lRj0jh81QowD8GqQnMGK8XQDgnBkNGmQPfoEUlRlxMO4PmlmwzJQG3OTTYka27BK1Ev0Gu6RSae0MlYTnLpB0zvanlL%2BqasaAZVvOFO1leQ3Hl4MWVNk4ylx54uK%2FL5jo4dNWEFDAJ21M7czE3UFWYYCy%2BZk%2FgM7B%2BrfpigwqPzoUi4AGXFoTMCqfNZ7s0RlrXuy9NDF%2Fr7OggI5LNF4w6tCQxgY6sgHTjfE%2B8pAY9qV8bwsXyFm4sRPJK38jJnAqY1JGawrPG340tfNkZqCRFz6fIHzHURQSPJN5Jdx%2F1oeDnAJUL%2B9I3aWqa9B1ssdgBWpizPnd6qmCgOiTKNXarPaI4IOQAEnscn%2BjSN588rUiJ5wtH5G%2BUOLUNOHPzCigmdsU4A4FW9tCWls%2FFClJooChWn%2Bg26mBPGiEbpvDfwtyOWCtloZZxR%2FS4I8vzLbma7Pb%2BSrmRiYM&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20250912T143257Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYUKUJD35V%2F20250912%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=8e0d230167c5b8d54b837b21276aab96a47247e127ba6eabfbb50e40298ee1db&hash=c189a02626f99be3fbe81dce73f88fa09245f721915a91a5d53130bdddad484f&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S037838200900321X&tid=spdf-2167bd17-0948-4518-aaa4-40a549230cd7&sid=2e2e4ce54230504527595ea8410fae1a7334gxrqb&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=1e0757590453540a0800&rr=97e01dff18f3c7af&cc=de;2010;South Korea;Asia;Scientific Publication;;;x;;;;;
126;"M. He, B. Xiao, Z. Hu, S. Liu, X. Guo & S. Luo, Syngas production from catalytic gasification of
waste polyethylene: Influence of temperature on gas yield
and composition, International Journal of Hydrogen Energy (2009), 34, 3, 1342-1348";10.1016/j.ijhydene.2008.12.023;https://www.sciencedirect.com/science/article/pii/S0360319908016844;2009;China;Asia;Scientific Publication;;;x;;;;;
127;"K.G. Burra & A.K. Gupta, Synergistic effects in steam gasification of combined biomass and plastic
waste mixtures, Applied Energy (2018), 211, 230-236";10.1016/j.apenergy.2017.10.130;https://www.sciencedirect.com/science/article/pii/S0306261917315702;2018;USA;America;Scientific Publication;;;x;;;;;
128;R. Xiao, B. Jin, H. Zhou, Z. Zhong & M. Zhang, Air gasification of polypropylene plastic waste in fluidized bed gasifier, Energy Conversion and Management (2007), 48, 3, 778-786;10.1016/j.enconman.2006.09.004;https://www.sciencedirect.com/science/article/pii/S019689040600286X;2007;China;Asia;Scientific Publication;;;x;;;;;
129;F. Pinto, M. Miranda & P. Costa, Co-pyrolysis of wastes mixtures obtained from rice production. Upgrading of produced liquids, Chemical Engineering Transactions (2015), 43, 2053-2058;10.3303/CET1543343;https://repositorio.lneg.pt/bitstream/10400.9/2932/1/ChemicalEngineeringTransactions_Vol.43_2053-2058.pdf;2015;Portugal;Europe;Scientific Publication;;;x;;;;;
130;J. G. Speight: Lange’s handbook of chemistry. 16th ed., New York: McGraw-Hill, 2005. ;;https://www.labxing.com/files/lab_data/1340-1625805401-Qqoazhfj.pdf;2005;USA;America;Scientific Publication;;;x;;;;;
131;M. Hu, D. Yu & J. Wie, Thermal conductivity determination of small polymer samples by differential scanning calorimetry, Polymer Testing (2007), 26:3, 333-337;10.1016/j.polymertesting.2006.11.003;https://www.researchgate.net/profile/Mingyang-Ma/post/How-we-can-measure-thermal-conductivity-of-metallic-sample-using-DSC/attachment/59d63c44c49f478072ea7c0c/AS%3A273748907757573%401442278233859/download/Thermal+conductivity+determination+of+small+polymer+samples+by+differential+scanning+calorimetry.pdf;2007;China;Asia;Scientific Publication;;;x;;;;;
132;J.E.S.D. Ladbury, B.R. Currell, J.R. Horder, J.R. Parsonage & E.A. Vidgeon, Application of DSC for the measurement of the thermal conductivity of elastomeric materials, Thermochimica Acta (1990), 169, 39-45;10.1016/0040-6031(90)80131-H;https://www.sciencedirect.com/science/article/pii/004060319080131H;1990;England;Europe;Scientific Publication;;;x;;;;;
133;C. T’Joen, Y. Park, Q. Wang, A. Sommers, X. Han & A. Jacobi,  A review on polymer heat exchangers for HVAC&R applications, International Journal of Refrigeration (2009), 32, 5, 763-779;10.1016/j.ijrefrig.2008.11.008;https://ceclnx01.cec.miamioh.edu/~sommerad/sdarticle_polymer_HXs_IJR2008.pdf;2009;Belgium;Europe;Scientific Publication;;;x;;;;;
134; D. Tripathi and Knovel, Practical guide to polypropylene,  Shawbury, U.K: Rapra Technology Ltd, 2002. ;;https://nusearch.nottingham.ac.uk/discovery/fulldisplay?docid=alma990015661870205561&context=L&vid=44NOTTS_UNUK:44NOTUK&lang=en&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=sub,exact,polypropylene&mode=Basic&offset=0;2002;UK;Europe;Scientific Publication;;;x;;;;;
135;Goswami, D. Y. (2015). Principles of solar engineering.CRC Press Taylor & Francis Group. ;;https://www.advan-kt.com/principlesofsolarengi.pdf;2015;USA;Europe;Scientific Publication;;;x;;;;;
136;"Guo, B.; Song, S.; Chacko J.; Ghalambor, A. (2005). Offshore Pipelines. Elsevier. ";;https://catatanabimanyu.wordpress.com/wp-content/uploads/2012/06/offshore-pipelines.pdf;2005;UK;Europe;Scientific Publication;;;x;;;;;
137;A. W. Birley, R. J. Heath & M. J. Scott, Plastic Materials - Properties and Applications, Blackie Academic & Professional (1988);10.1007/978-94-011-7614-9;https://link.springer.com/book/10.1007/978-94-011-7614-9;1988;UK;Europe;Scientific Publication;;;x;;;;;
138;R. Zevenhoven, E. P. Axelsen & M. Hupa, Pyrolysis of waste-derived fuel mixtures containing PVC, Fuel (2002), 81:4, 507-510;10.1016/S0016-2361(01)00168-5;https://www.sciencedirect.com/science/article/pii/S0016236101001685?via%3Dihub;2002;Finland;Europe;Scientific Publication;;;x;;;;;
139;P.Tang, M.V.A. Florena, P. Spiesz & H.J.H. Brouwers, Characteristics and application potential of municipal solid waste incineration (MSWI) bottom ashes from two waste-to-energy plants, Construction and Building Materials (2015), 83,77-94;10.1016/j.conbuildmat.2015.02.033;https://www.sciencedirect.com/science/article/pii/S0950061815001804;2015;Netherlands ;Europe;Scientific Publication;;;;x;;;;
140;"B.Wu, D.Wang, X. Chai, F.Takahashi & T. Shimaoka, Characterization of chlorine and heavy metals for the potential recycling of bottom ash from municipal solid waste incinerators as cement additives, Frontiers of Environmental Science & Engineering (2016), 10, 8
";10.1007/s11783-016-0847-9;https://link.springer.com/article/10.1007/s11783-016-0847-9;2016;China;Asia;Scientific Publication;;;;x;;;;
141;F. Jiao, L. Zhang, Z. Dong, T. Namioka, N. Yamada & Y. Ninomiya, Study on the species of heavy metals in MSW incineration fly ash and their leaching behaviour, Fuel Processing Technology (2016), 152, 108-115;10.1016/j.fuproc.2016.06.013;https://www.sciencedirect.com/science/article/pii/S0378382016302727;2016;Japan;Asia;Scientific Publication;;;;x;;;;
142;D.H. Vu, K.-S. Wang, J.-H. Chen, B.X. Nam & B.H. Bac, Glass-ceramic from mixtures of bottom ash and fly ash, Waste Management (2012), 32,12,2306-2314 ;10.1016/j.wasman.2012.05.040;https://www.researchgate.net/publication/228100608_Glass-ceramic_from_mixtures_of_bottom_ash_and_fly_ash;2012;Vietnam ;Asia;Scientific Publication;;;;x;;;;
143;J. Zhang, X. Zhang, J. Yuan, B. Liu, H. Shen, J. Liu & S. Zhang, Hierarchically porous glass–ceramics by alkaline activation and crystallization from municipal solid waste incineration ashes, Journal of Cleaner Production (2022), 364,132693;10.1016/j.jclepro.2022.132693;https://www.sciencedirect.com/science/article/pii/S0959652622022910;2022;China;Asia;Scientific Publication;;;;x;;;;
144;Z. Chen, Y. Liu, W. Zhu & E.-H. Yang, Incinerator bottom ash (IBA) aerated geopolymer, Construction and Building Materials (2016), 112, 1025-1031;10.1016/j.conbuildmat.2016.02.164;https://www.sciencedirect.com/science/article/pii/S0950061816302239;2016;Singapore;Asia;Scientific Publication;;;;x;;;;
145;X.G. Li, Z.L. Liu, Y. Lv, L.X. Cai, D.B. Jiang, W.G. Jiang & S. Jian, Utilization of municipal solid waste incineration bottom ash in autoclaved aerated concrete, Construction and Building Materials (2018), 178, 175-182;10.1016/j.conbuildmat.2018.05.147;https://www.sciencedirect.com/science/article/pii/S0950061818312236;2018;China;Asia;Scientific Publication;;;;x;;;;
146;T. Zhang & Z. Zhao, Optimal Use of MSWI Bottom Ash in Concrete, International Journal of Concrete Structures and Materials (2014), 8, 173-182;10.1007/s40069-014-0073-4;https://link.springer.com/article/10.1007/s40069-014-0073-4;2014;China;Asia;Scientific Publication;;;;x;;;;
147;P. Shen, H. Zheng, J. Lu & C.S. Poon, Utilization of municipal solid waste incineration bottom ash (IBA) aggregates in high-strength pervious concrete, Resources, Conservation and Recycling (2021), 174, 105736;10.1016/j.resconrec.2021.105736;https://www.sciencedirect.com/science/article/pii/S0921344921003451;2021;China;Asia;Scientific Publication;;;;x;;;;
148;W. Zhu, X.H. Rao, Y. Liu & E.-H. Yang,Lightweight aerated metakaolin-based geopolymer incorporating municipal solid waste incineration bottom ash as gas-forming agent, Journal of Cleaner Production (2018), 177, 775-781;10.1016/j.jclepro.2017.12.267;https://www.sciencedirect.com/science/article/pii/S0959652617332614;2018;Singapore;Asia;Scientific Publication;;;;x;;;;
149;N. Saikia, G. Cornelis, G. Mertens, J. Elsen, K. Van Balen, T. Van Gerven & C. Vandecasteele, Assessment of Pb-slag, MSWI bottom ash and boiler and fly ash for using as a fine aggregate in cement mortar, Journal of Hazardous Materials (2008), 154, 1, 766-777;10.1016/j.jhazmat.2007.10.093;https://www.sciencedirect.com/science/article/pii/S0304389407015749;2008;Belgium;Europe;Scientific Publication;;;;x;;;;
150;O. Ginés, J.M. Chimenos, A. Vizcarro, J. Formosa & J.R. Rosell, Combined use of MSWI bottom ash and fly ash as aggregate in concrete formulation: Environmental and mechanical considerations, Journal of Hazardous Materials (2009), 169, 1, 643-650;10.1016/j.jhazmat.2009.03.141;https://www.sciencedirect.com/science/article/pii/S0304389409005457;2009;Spain;Europe;Scientific Publication;;;;x;;;;
